DOCUMENT RANK,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
QUERY_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,0.666666667,0.75,0.8,0.666666667,0.714285714,0.75,0.777777778,0.8,0.818181818,0.833333333,0.769230769,0.785714286,0.733333333,0.75,0.764705882,0.777777778,0.789473684,0.8,0.761904762,0.772727273,0.739130435,0.708333333,0.72,0.692307692,0.666666667,0.642857143,0.620689655,0.6,0.580645161,0.5625,0.545454545,0.529411765,0.514285714,0.5,0.513513514,0.5,0.487179487,0.475,0.487804878,0.476190476,0.465116279,0.454545455,0.444444444,0.434782609,0.425531915,0.416666667,0.408163265,0.4,0.392156863,0.384615385,0.377358491,0.37037037,0.363636364,0.357142857,0.350877193,0.344827586,0.338983051,0.333333333,0.327868852,0.322580645,0.317460317,0.3125,0.307692308,0.303030303,0.298507463,0.294117647,0.289855072,0.285714286,0.281690141,0.277777778,0.273972603,0.27027027,0.266666667,0.263157895,0.25974026,0.256410256,0.253164557,0.25,0.24691358,0.243902439,0.240963855,0.238095238,0.235294118,0.23255814,0.229885057,0.227272727,0.224719101,0.222222222,0.21978022,0.217391304,0.215053763,0.212765957,0.210526316,0.208333333,0.206185567,0.204081633,0.202020202,0.2
11,1,1,1,0.75,0.8,0.666666667,0.714285714,0.75,0.666666667,0.7,0.727272727,0.666666667,0.615384615,0.571428571,0.533333333,0.5,0.470588235,0.444444444,0.421052632,0.4,0.380952381,0.363636364,0.347826087,0.333333333,0.32,0.307692308,0.296296296,0.285714286,0.275862069,0.266666667,0.258064516,0.25,0.242424242,0.235294118,0.228571429,0.222222222,0.216216216,0.210526316,0.205128205,0.2,0.195121951,0.19047619,0.186046512,0.181818182,0.177777778,0.173913043,0.170212766,0.166666667,0.163265306,0.16,0.156862745,0.153846154,0.150943396,0.166666667,0.163636364,0.160714286,0.157894737,0.155172414,0.152542373,0.15,0.147540984,0.14516129,0.142857143,0.140625,0.138461538,0.136363636,0.134328358,0.132352941,0.130434783,0.128571429,0.126760563,0.125,0.123287671,0.121621622,0.12,0.118421053,0.116883117,0.115384615,0.113924051,0.1125,0.111111111,0.109756098,0.108433735,0.107142857,0.105882353,0.104651163,0.103448276,0.102272727,0.101123596,0.1,0.098901099,0.108695652,0.107526882,0.106382979,0.105263158,0.104166667,0.103092784,0.102040816,0.101010101,0.1
12,1,1,0.666666667,0.5,0.4,0.333333333,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.095238095,0.090909091,0.086956522,0.083333333,0.08,0.115384615,0.111111111,0.142857143,0.137931034,0.133333333,0.129032258,0.125,0.121212121,0.117647059,0.114285714,0.111111111,0.108108108,0.105263158,0.102564103,0.1,0.097560976,0.095238095,0.093023256,0.090909091,0.088888889,0.086956522,0.085106383,0.083333333,0.081632653,0.08,0.078431373,0.076923077,0.075471698,0.074074074,0.072727273,0.071428571,0.070175439,0.068965517,0.06779661,0.066666667,0.06557377,0.064516129,0.063492063,0.0625,0.061538462,0.060606061,0.059701493,0.058823529,0.057971014,0.057142857,0.056338028,0.055555556,0.054794521,0.054054054,0.053333333,0.052631579,0.051948052,0.051282051,0.050632911,0.05,0.049382716,0.048780488,0.048192771,0.047619048,0.047058824,0.046511628,0.045977011,0.045454545,0.04494382,0.044444444,0.043956044,0.043478261,0.043010753,0.042553191,0.042105263,0.041666667,0.041237113,0.040816327,0.04040404,0.04
13,1,1,0.666666667,0.5,0.6,0.5,0.571428571,0.5,0.444444444,0.4,0.363636364,0.333333333,0.307692308,0.285714286,0.266666667,0.25,0.235294118,0.222222222,0.210526316,0.2,0.19047619,0.181818182,0.173913043,0.166666667,0.16,0.192307692,0.185185185,0.178571429,0.172413793,0.166666667,0.161290323,0.15625,0.151515152,0.176470588,0.171428571,0.166666667,0.162162162,0.157894737,0.153846154,0.15,0.146341463,0.142857143,0.139534884,0.136363636,0.133333333,0.130434783,0.127659574,0.125,0.12244898,0.12,0.117647059,0.115384615,0.113207547,0.111111111,0.109090909,0.107142857,0.122807018,0.120689655,0.118644068,0.116666667,0.114754098,0.112903226,0.111111111,0.109375,0.107692308,0.106060606,0.104477612,0.102941176,0.101449275,0.1,0.098591549,0.097222222,0.095890411,0.094594595,0.093333333,0.092105263,0.090909091,0.08974359,0.088607595,0.0875,0.086419753,0.085365854,0.084337349,0.083333333,0.082352941,0.081395349,0.08045977,0.079545455,0.078651685,0.077777778,0.076923077,0.076086957,0.075268817,0.074468085,0.073684211,0.072916667,0.072164948,0.071428571,0.070707071,0.07
14,0,0.5,0.333333333,0.25,0.2,0.166666667,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.214285714,0.2,0.25,0.235294118,0.222222222,0.210526316,0.2,0.19047619,0.227272727,0.217391304,0.208333333,0.2,0.192307692,0.185185185,0.178571429,0.172413793,0.166666667,0.161290323,0.15625,0.151515152,0.147058824,0.142857143,0.138888889,0.135135135,0.131578947,0.128205128,0.125,0.12195122,0.119047619,0.11627907,0.136363636,0.133333333,0.130434783,0.14893617,0.145833333,0.142857143,0.16,0.156862745,0.153846154,0.150943396,0.148148148,0.163636364,0.160714286,0.157894737,0.155172414,0.152542373,0.15,0.163934426,0.161290323,0.158730159,0.171875,0.169230769,0.166666667,0.164179104,0.161764706,0.15942029,0.157142857,0.154929577,0.166666667,0.164383562,0.162162162,0.16,0.157894737,0.155844156,0.153846154,0.151898734,0.15,0.160493827,0.158536585,0.156626506,0.154761905,0.152941176,0.162790698,0.172413793,0.181818182,0.179775281,0.177777778,0.175824176,0.173913043,0.172043011,0.170212766,0.168421053,0.166666667,0.164948454,0.163265306,0.161616162,0.17
15,1,0.5,0.333333333,0.25,0.2,0.166666667,0.142857143,0.125,0.111111111,0.1,0.181818182,0.25,0.230769231,0.214285714,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.181818182,0.217391304,0.208333333,0.2,0.192307692,0.185185185,0.178571429,0.172413793,0.166666667,0.161290323,0.15625,0.151515152,0.147058824,0.142857143,0.138888889,0.135135135,0.131578947,0.128205128,0.15,0.146341463,0.142857143,0.139534884,0.136363636,0.133333333,0.130434783,0.127659574,0.125,0.12244898,0.12,0.117647059,0.115384615,0.113207547,0.111111111,0.109090909,0.107142857,0.105263158,0.103448276,0.101694915,0.1,0.098360656,0.096774194,0.095238095,0.09375,0.092307692,0.090909091,0.089552239,0.088235294,0.086956522,0.085714286,0.084507042,0.083333333,0.082191781,0.081081081,0.08,0.078947368,0.077922078,0.076923077,0.075949367,0.075,0.074074074,0.073170732,0.072289157,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.0625,0.06185567,0.06122449,0.060606061,0.06
16,0,0,0,0,0,0,0.142857143,0.125,0.111111111,0.1,0.090909091,0.083333333,0.076923077,0.071428571,0.066666667,0.0625,0.058823529,0.055555556,0.052631579,0.05,0.095238095,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.111111111,0.108108108,0.105263158,0.102564103,0.1,0.12195122,0.119047619,0.11627907,0.113636364,0.133333333,0.130434783,0.127659574,0.125,0.12244898,0.12,0.117647059,0.115384615,0.113207547,0.111111111,0.109090909,0.107142857,0.105263158,0.103448276,0.101694915,0.1,0.098360656,0.096774194,0.095238095,0.09375,0.092307692,0.090909091,0.089552239,0.102941176,0.101449275,0.1,0.098591549,0.097222222,0.095890411,0.094594595,0.093333333,0.092105263,0.090909091,0.08974359,0.088607595,0.0875,0.086419753,0.085365854,0.084337349,0.083333333,0.082352941,0.081395349,0.08045977,0.079545455,0.078651685,0.077777778,0.076923077,0.076086957,0.075268817,0.074468085,0.073684211,0.072916667,0.072164948,0.071428571,0.070707071,0.07
17,0,0.5,0.333333333,0.25,0.4,0.333333333,0.285714286,0.25,0.333333333,0.3,0.363636364,0.333333333,0.307692308,0.285714286,0.266666667,0.25,0.235294118,0.222222222,0.210526316,0.2,0.19047619,0.181818182,0.173913043,0.166666667,0.16,0.192307692,0.185185185,0.178571429,0.172413793,0.2,0.193548387,0.1875,0.181818182,0.176470588,0.171428571,0.166666667,0.162162162,0.157894737,0.153846154,0.15,0.146341463,0.142857143,0.139534884,0.136363636,0.133333333,0.130434783,0.127659574,0.125,0.12244898,0.12,0.117647059,0.115384615,0.113207547,0.111111111,0.109090909,0.107142857,0.105263158,0.103448276,0.101694915,0.1,0.098360656,0.096774194,0.095238095,0.09375,0.092307692,0.090909091,0.089552239,0.088235294,0.086956522,0.085714286,0.084507042,0.083333333,0.082191781,0.081081081,0.08,0.078947368,0.077922078,0.076923077,0.075949367,0.075,0.074074074,0.073170732,0.072289157,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.0625,0.06185567,0.06122449,0.060606061,0.06
18,0,0,0,0,0,0,0.142857143,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.214285714,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.093023256,0.090909091,0.088888889,0.086956522,0.085106383,0.083333333,0.081632653,0.08,0.078431373,0.076923077,0.075471698,0.074074074,0.090909091,0.089285714,0.087719298,0.086206897,0.084745763,0.083333333,0.098360656,0.096774194,0.095238095,0.09375,0.092307692,0.090909091,0.089552239,0.088235294,0.086956522,0.085714286,0.084507042,0.083333333,0.082191781,0.081081081,0.08,0.078947368,0.077922078,0.076923077,0.075949367,0.075,0.074074074,0.073170732,0.072289157,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.0625,0.06185567,0.06122449,0.060606061,0.06
19,1,1,1,1,0.8,0.833333333,0.714285714,0.625,0.666666667,0.7,0.636363636,0.583333333,0.538461538,0.5,0.466666667,0.4375,0.411764706,0.388888889,0.368421053,0.35,0.333333333,0.363636364,0.347826087,0.333333333,0.32,0.307692308,0.296296296,0.285714286,0.275862069,0.266666667,0.258064516,0.25,0.242424242,0.235294118,0.228571429,0.222222222,0.216216216,0.210526316,0.205128205,0.2,0.195121951,0.19047619,0.186046512,0.181818182,0.177777778,0.173913043,0.170212766,0.166666667,0.163265306,0.16,0.156862745,0.153846154,0.150943396,0.148148148,0.145454545,0.142857143,0.140350877,0.137931034,0.13559322,0.133333333,0.131147541,0.129032258,0.126984127,0.125,0.123076923,0.121212121,0.119402985,0.117647059,0.115942029,0.114285714,0.112676056,0.111111111,0.109589041,0.108108108,0.106666667,0.105263158,0.103896104,0.102564103,0.101265823,0.1,0.098765432,0.097560976,0.096385542,0.095238095,0.094117647,0.093023256,0.091954023,0.090909091,0.08988764,0.088888889,0.087912088,0.086956522,0.086021505,0.085106383,0.084210526,0.083333333,0.082474227,0.091836735,0.090909091,0.09
